date,region,value
2024-09,인천,43547
2024-09,광주,24742
2024-09,대전,22152
2024-09,울산,15623
2024-09,세종,11134
2024-09,경기,198529
2024-09,강원,18377
2024-09,충북,18741
2024-09,충남,29950
2024-09,전북,16245
2024-09,전남,10657
2024-09,경북,24528
2024-09,경남,39137
2024-09,제주,2956
2024-10,전국,764633
2024-10,서울,137681
2024-10,부산,73592
2024-10,대구,54045
2024-10,인천,47348
2024-10,광주,25626
2024-10,대전,23315
2024-10,울산,15644
2024-10,세종,11305
2024-10,경기,209514
2024-10,강원,19399
2024-10,충북,19321
2024-10,충남,30919
2024-10,전북,16980
2024-10,전남,11508
2024-10,경북,25125
2024-10,경남,40145
2024-10,제주,3166
2024-11,전국,788982
2024-11,서울,142529
2024-11,부산,75449
2024-11,대구,55037
2024-11,인천,49643
2024-11,광주,26668
2024-11,대전,24395
2024-11,울산,15651
2024-11,세종,11688
2024-11,경기,216452
2024-11,강원,20300
2024-11,충북,19743
2024-11,충남,32079
2024-11,전북,17057
2024-11,전남,11898
2024-11,경북,25536
2024-11,경남,41597
2024-11,제주,3260
2024-12,전국,778546
2024-12,서울,138982
2024-12,부산,73452
2024-12,대구,53992
2024-12,인천,50089
2024-12,광주,26858
2024-12,대전,24547
2024-12,울산,15493
2024-12,세종,11340
2024-12,경기,214817
2024-12,강원,20234
2024-12,충북,19236
2024-12,충남,31865
2024-12,전북,16727
2024-12,전남,11570
2024-12,경북,25283
2024-12,경남,40841
2024-12,제주,3220
2025-01,전국,729134
2025-01,서울,130812
2025-01,부산,68403
2025-01,대구,50188
2025-01,인천,47700
2025-01,광주,25268
2025-01,대전,23191
2025-01,울산,14305
2025-01,세종,10507
2025-01,경기,203504
2025-01,강원,18283
2025-01,충북,17554
2025-01,충남,29460
2025-01,전북,15039
2025-01,전남,10979
2025-01,경북,22733
2025-01,경남,38268
2025-01,제주,2940
2025-02,전국,810820
2025-02,서울,141596
2025-02,부산,77156
2025-02,대구,54668
2025-02,인천,53611
2025-02,광주,27906
2025-02,대전,26590
2025-02,울산,15860
2025-02,세종,11087
2025-02,경기,226455
2025-02,강원,21265
2025-02,충북,20052
2025-02,충남,32924
2025-02,전북,17331
2025-02,전남,12403
2025-02,경북,25551
2025-02,경남,43051
2025-02,제주,3314
2025-03,전국,795414
2025-03,서울,134833
2025-03,부산,76591
2025-03,대구,53153
2025-03,인천,53652
2025-03,광주,27569
2025-03,대전,26574
2025-03,울산,15371
2025-03,세종,10145
2025-03,경기,225007
2025-03,강원,20949
2025-03,충북,19644
2025-03,충남,32577
2025-03,전북,16833
2025-03,전남,11997
2025-03,경북,24864
2025-03,경남,42394
2025-03,제주,3261
2025-04,전국,802801
2025-04,서울,133699
2025-04,부산,77736
2025-04,대구,53650
2025-04,인천,54457
2025-04,광주,27695
2025-04,대전,26384
2025-04,울산,15241
2025-04,세종,8566
2025-04,경기,230266
2025-04,강원,21654
2025-04,충북,20346
2025-04,충남,33479
2025-04,전북,17325
2025-04,전남,12123
2025-04,경북,24934
2025-04,경남,41817
2025-04,제주,3429
2025-05,전국,783989
2025-05,서울,127880
2025-05,부산,75719
2025-05,대구,52292
2025-05,인천,53733
2025-05,광주,26879
2025-05,대전,25820
2025-05,울산,14811
2025-05,세종,8698
2025-05,경기,227233
2025-05,강원,21259
2025-05,충북,19969
2025-05,충남,32889
2025-05,전북,16761
